,Unnamed: 0,Name,language,genra,chapters,type,status,authors,published,score,views
11098,11098,The Secret Girl Through the Filter,EN,"Comedy,Ecchi,Romance",Chap 17,Manga,Publishing,,?,,46676
11099,11099,The Secret of the Partner Next to You,EN,"Drama,Mystery,Romance",Chap 2,Manhwa,Publishing,,?,,3675
11100,11100,The Secret Tales of a 30-Year-Old Gay Bachelor,EN,"Comedy,Romance,ShounenAi",Chap 110,Manhua,Publishing,,?,,2642
11101,11101,The Secrets of the Willson Family,EN,"Horror,Mystery,Seinen",Chap 40,Manga,Publishing,,?,,2296
11102,11102,The Senior Disciple,EN,"Action,Adventure,Fantasy",Chap 35,Manhua,Publishing,,?,,1442
11103,11103,The Serial Killer Is Reincarnated Into the Another World,EN,"Action,Thriller",Chap 25,Manga,Publishing,,?,,9062
11104,11104,The Serious Succubus Hiiragi-san,EN/JA,"Comedy,Romance,SliceofLife",Chap 34,Manga,Publishing,,?,,7371
11105,11105,The Seven Deadly Sins,EN/FR/JA,"Action,Adventure,Fantasy",Chap 345.5,Manga,Finished,"Suzuki,Nakaba(Story&Art)","Oct10,2012toMar25,2020",7.65,149632
11106,11106,The Seven Deadly Sins Academy,EN/JA,"Comedy,Fantasy,School",Chap 46.5,Manga,Finished,"Tamaki,Juuichi(Story&Art)","Aug9,2014toOct8,2016",7.1,5295
11107,11107,The Seven Deadly Sins: Four Knights of the Apocalypse,EN/JA,"Action,Adventure,Fantasy",Chap 161,Manga,Publishing,"Suzuki,Nakaba","Jan27,2021to?",7.03,319423
11108,11108,The Seven Princes of the Thousand Year Labyrinth,EN,"Fantasy,Josei,Mystery",Chap 21,Manga,Finished,"Aikawa,Yu(Art),Atori,Haruno","Aug28,2014toMay28,2016",7.66,706
11109,11109,The Shadow Prophet,EN,Drama,Chap 40,Manhwa,Publishing,,?,,35
11110,11110,The Shape of Sympathy,EN,"Drama,Romance,Yaoi",Chap 78,Manhwa,Publishing,,?,,17960
11111,11111,The Shinigami Infirmary,EN/JA,"Comedy,Dementia,School",Chap 87,Manga,Finished,"Aimoto,Shou(Story&Art)","Sep7,2009toJun27,2011",7.15,927
11112,11112,The Shut-in Lady Is an Understanding Sacred Beast Caretaker,EN/JA,"Comedy,Fantasy,Romance",Chap 33,Manga,Publishing,"Ooniwa,Soto(Art),Yamada,Touko","Dec6,2019to?",,2176
11113,11113,The Sickly Tyrant With An Innocent Facade,EN,"Action,Adventure,Drama",Chap 96,Manhua,Publishing,,?,,1012
11114,11114,The Sign of Abyss,EN,"Drama,Fantasy,Shounen",Chap 47,Manga,Finished,"Takamura,Maya(Story&Art)","Feb13,2018toJun12,2020",7.11,394
11115,11115,The Silent Daughter of a Duke and the Cold Emperor ~ The Child I Found in My Past Life Became the Emperor ~,EN/JA,"Fantasy,Historical,Romance",Chap 9,Manga,Publishing,,?,,4091
11116,11116,The Siren: Becoming the Villain's Family,EN,"Drama,Fantasy,Romance",Chap 86,Manhwa,Publishing,,?,,7414
11117,11117,The Sixth Sense,EN/JA,"Mystery,Psychological,Shounen",Chap 3,Manga,Publishing,"Nagato,Chihiro","Jan9,2021to?",,538
11118,11118,The Skirt Sings at the Landing,EN,"School,ShoujoAi,Sports",Chap 24,Manga,Publishing,"Utatane,You(Story&Art)","Aug19,2020to?",,294
